time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.83789271823e-07,-1.8607168723e-07,1.06994508234,6.28312040202,5.2370388592e-05,0.0,-1.76681685844e-05,-1.9812016668e-05,2.32989509661,-0.003338486986,0.00256373365465,0.0,-899.842860427,-899.946618736,899.998616946,899.863530924
0.12000000000000001,-7.96404989904e-06,-9.79830308502e-06,1.27900551135,6.28303457235,6.28309168698,0.0,-0.000253968519341,-0.000360093453968,4.63249979261,0.00213627568181,-0.0149989556426,0.0,900.374073959,899.663376498,899.578521624,899.800198225
0.18,-7.53137375393e-07,-4.16796305625e-05,1.62463780501,0.000128142864178,6.28191927629,0.0,0.000916112136592,-0.000614545785319,6.87795038157,0.00925020682951,-0.0306686631048,0.0,900.429969421,899.796080591,899.484664825,899.772618026
0.23999999999999996,0.000186411645784,-5.89269514642e-05,2.10260365734,0.000833170036629,6.28028761487,0.0,0.00600097404489,0.000293105256333,9.03980649005,0.0163331841005,-0.0207227349782,0.0,900.251901463,-900.432053117,899.548076314,899.83467253
0.3,0.000794900958676,4.0031763079e-05,2.70710520754,0.00198340544387,6.2792693195,0.0,0.0146642040693,0.00340340072359,11.0926759487,0.0243145563803,-0.0100816033385,0.0,900.191273945,-900.337502225,899.414123195,899.737109597
0.36000000000000004,0.00198022261283,0.000417135287272,3.43104054504,0.00388285099044,6.27884962709,0.0,0.0249543049936,0.00975235193455,13.0185815841,0.0433289784702,-0.00117088835322,0.0,900.005117419,-900.022565207,899.416182999,900.185899866
0.4200000000000001,0.00378925909058,0.00131699908689,4.26633908948,0.00694123271368,6.27896280151,0.0,0.0352450774546,0.021144599212,14.8032547333,0.0630248418272,0.0076434254656,0.0,900.019470229,-899.977901205,899.033583066,899.831657002
0.48000000000000015,0.00618065279343,0.00310166492073,5.20430976705,0.0112176577025,6.28001655164,0.0,0.0441150425768,0.039498204769,16.4402194097,0.0840732865447,0.0325124631946,0.0,899.641570005,-900.199051661,899.078052098,899.931736566
0.5400000000000001,0.00900337319305,0.00623778518799,6.23600400653,0.0171135745123,6.28236782946,0.0,0.0492522931035,0.0664523596285,17.9272895146,0.117386344931,0.05017813269,0.0,900.015360984,-900.234951703,898.811716122,900.164009591
0.6000000000000002,0.0119739704127,0.0113009035285,7.35245422262,0.0250210285162,0.00233260625093,0.0,0.0488905583295,0.104037624578,19.2659142358,0.15110414716,0.0569795988553,0.0,900.39875024,-900.136977131,898.849617602,900.221569832
0.6600000000000003,0.014745622006,0.0189814113605,8.54485404853,0.0347418895339,0.00624962286108,0.0,0.0425894754019,0.153861271066,20.4599273095,0.177850927957,0.0781490311546,0.0,-899.426512492,-900.285541699,898.944344592,900.038143579
0.7200000000000003,0.0169426749746,0.0300348057599,9.8047828075,0.0460536199773,0.0115184959643,0.0,0.0295636789951,0.216481589152,21.5181737161,0.204111766718,0.102280493483,0.0,-899.500627724,-900.481199627,898.972989391,900.051481356
0.7800000000000004,0.0181284222557,0.0452249179194,11.1243367362,0.0585325093102,0.0181032007087,0.0,0.00874698792702,0.291660972184,22.448978786,0.214763571558,0.121563244692,0.0,-899.470902534,-900.257739,899.173747467,899.623876467
0.8400000000000004,0.0178157619693,0.0652738645372,12.4962098322,0.0715715608955,0.0256494050377,0.0,-0.0204140167579,0.378200084632,23.2638002649,0.221982702802,0.133071480793,0.0,-899.611704036,-900.0859986,899.203534586,899.516547782
0.9000000000000005,0.0155048481059,0.0908138646573,13.9137843456,0.0849490206522,0.0337852189334,0.0,-0.0578069210943,0.474450333171,23.9740458307,0.224836296568,0.140216543819,0.0,-899.637620004,-899.93675894,899.328631069,899.465963407
0.9600000000000005,0.0107161003967,0.122375828506,15.3711002752,0.0985214124317,0.0423072452966,0.0,-0.10292740819,0.578700043042,24.5901849826,0.228810526122,0.145436736001,0.0,-899.56975263,-899.79198208,899.119594962,899.303092382
1.0200000000000005,0.00300104599445,0.16039968439,16.8628762224,0.112007508777,0.0509050030248,0.0,-0.155257963767,0.689650838266,25.1242772536,0.215143786482,0.138634634651,0.0,-900.032142191,-899.767949858,899.302489021,898.770402832
1.0800000000000005,-0.00804818832017,0.205242190957,18.3845075621,0.124770576854,0.0590279001393,0.0,-0.213895352666,0.805722196189,25.5867712254,0.207371245068,0.127929117793,0.0,-900.185744855,-899.76239425,899.281950781,898.986355197
1.1400000000000006,-0.0227754321601,0.257165013466,19.9319741984,0.137114610216,0.0665546563912,0.0,-0.277693162623,0.925501640294,25.9867324702,0.202245892013,0.119955725302,0.0,-900.284137483,-899.970021211,899.24826196,899.058579343
1.2000000000000006,-0.0414606625448,0.31636176178,21.5017648531,0.149042834714,0.0737186226344,0.0,-0.345725216323,1.04808101152,26.3320603941,0.190849048683,0.118264219298,0.0,-900.095389331,-900.03465879,899.513833727,899.068570087
1.2600000000000007,-0.0643424463691,0.382978108477,23.0908213612,0.16032214118,0.0808913243544,0.0,-0.41755152703,1.17271576449,26.6299428762,0.181556886122,0.121988419865,0.0,-899.864088513,-900.022533963,899.630210592,899.268325199
1.3200000000000007,-0.0916476206256,0.457120358823,24.6965003129,0.171093032474,0.0882190538072,0.0,-0.493189835543,1.29888366943,26.8870353323,0.175088168309,0.122407862157,0.0,-899.82364391,-899.848694011,899.782707683,899.5338325
